date,Total_PnL,Avg_Execution_Price,Total_Trade_Volume,Total_Fee,Trade_Count,value,classification,Sentiment_Binary,PnL_3D_Mean,PnL_3D_STD,Volume_3D_Mean,TradeCount_3D_Mean
2024-04-15,3774.08872,230.87443634146345,291111.19,40.650604,41,74.0,Greed,1.0,-8569.490681666668,23888.05744953977,478894.8700000001,79.0
2024-04-16,2467.702221,0.8237938510638297,181907.17,18.457685,47,65.0,Greed,1.0,-9954.073859666669,22655.929254294322,377393.5100000002,65.0
2024-04-17,2441.4684,4.993378571428572,97562.99,10.620963,14,67.0,Greed,1.0,2894.4197803333313,761.9285635162065,190193.78333333344,34.0
2024-04-19,1946.445462,3065.022857142857,337257.92000000004,118.04026,35,66.0,Greed,1.0,2285.205360999998,293.66776332962803,205576.02666666682,32.0
2024-04-20,0.0,285.09828863636363,60733.24,121.289047,22,66.0,Greed,1.0,1462.6379539999978,1290.6371549152022,165184.7166666668,23.666666666666668
2024-04-22,0.0,3202.222222222222,47993.61,16.797764,9,73.0,Greed,1.0,648.8151539999975,1123.7808114486636,148661.5900000001,22.0
2024-04-23,1119.536196,2616.430871212121,233054.9,71.308476,66,71.0,Greed,1.0,373.1787319999976,646.3645241281951,113927.25000000012,32.333333333333336
2024-04-24,279.185907,3230.17,141275.24,49.446316,20,72.0,Greed,1.0,466.2407009999976,582.7370294630413,140774.58333333346,31.666666666666668
2024-04-25,0.0,251.67034283783784,120241.01,160.159512,74,72.0,Greed,1.0,466.2407009999976,582.7370294630413,164857.05000000013,53.333333333333336
2024-04-26,0.0,0.12152,4988.290000000001,1.745898,3,70.0,Greed,1.0,93.06196899999757,161.18805856065777,88834.84666666678,32.333333333333336
2024-04-27,4281.488139,3258.651851851852,154264.47,53.99255,27,67.0,Greed,1.0,1427.1627129999977,2471.918329583858,93164.59000000013,34.666666666666664
2024-04-28,0.0,451.9867443103448,43985.6,15.394946,58,65.0,Greed,1.0,1427.1627129999977,2471.918329583858,67746.12000000011,29.333333333333332
2024-04-29,526.9338359999999,2245.884760888889,108699.01,38.04463,45,67.0,Greed,1.0,1602.8073249999977,2334.7190397024833,102316.3600000001,43.333333333333336
2024-04-30,0.0,3023.15,125018.75,43.75655,24,67.0,Greed,1.0,175.64461199999755,304.225392059858,92567.78666666678,42.333333333333336
2024-05-01,0.0,2916.8142857142857,87025.45,30.458908,14,54.0,Neutral,,175.64461199999755,304.225392059858,106914.40333333344,27.666666666666668
2024-05-03,5306.017045,1960.460155,282682.65,98.910681,36,48.0,Neutral,,1768.6723483333308,3063.4303692555072,164908.9500000001,24.666666666666668
2024-05-04,0.0,2089.1695403333333,58998.75,20.649559,9,67.0,Greed,1.0,1768.6723483333308,3063.4303692555072,142902.28333333344,19.666666666666668
2024-05-05,0.916,2099.545833333333,24068.35,8.412778,6,69.0,Greed,1.0,1768.9776816666642,3063.1659770719566,121916.58333333343,17.0
2024-05-06,968.59038,3109.866666666667,206016.43,72.105746,9,71.0,Greed,1.0,323.16879333333094,558.9516778448531,96361.17666666675,8.0
2024-05-07,883.537693,1715.215231,108717.58,38.039061,18,68.0,Greed,1.0,617.6813576666642,535.8247098677302,112934.1200000001,11.0
